"Date","r_Shanghai","r_Hang_Seng","r_Nikkei_225","r_KOSPI","r_STI"
2003-02-24,0.207375758674377,-0.123199547446262,0.602045675974594,2.08059050788352,-0.628573062259274
2003-02-25,1.96049336420971,-0.989677943176659,-2.41612562282683,-3.97887889336346,-1.2590502946578
2003-02-26,0.125642279940585,-0.352591913164879,-0.0440262489687981,-0.336572524304657,-0.256054268189843
2003-02-27,0.0343588120516714,0.196816373424902,0.0307486337526086,-1.33026042417494,-1.24220344260104
2003-02-28,-0.117000439704373,-0.126856164550659,0.0437735693571639,-1.21429261523929,0.20431424340579
2003-03-03,0.892213424371757,1.58892564635913,1.51141161049075,2.50727438101421,0.419107172291699
2003-03-04,-0.0773826347397311,-0.94176188955668,-0.119972060196183,-2.30762327000003,-0.803721518473477
2003-03-05,-0.46819397176332,-0.79503695507892,-0.0896604994695238,-2.87131368156306,-0.273036634983104
2003-03-06,-1.24955199342409,-1.62602689191704,-1.22874616903754,-0.883843005651386,-1.72800116890803
2003-03-07,-0.351003058078359,-0.617371581307502,-2.72561317047657,-1.69069265290318,-1.43081101812097
2003-03-10,-1.63203611597167,-0.509090821659974,-1.25860562551043,-0.326527907386609,-1.01067676697744
2003-03-12,0.413733253653437,0.147940530543877,-1.24140646996089,-2.3104043343003,1.62291611042864
2003-03-13,-0.704846335364362,-0.991264138011339,-0.942100114770383,-0.0056412715441212,-0.154941319605584
2003-03-14,0.0948582145656296,1.9018113024444,1.69026627892137,1.09779208581742,1.53951442512454
2003-03-17,0.220079058341582,-1.7118343188061,-1.65113081635653,-4.25749793086485,-1.32460794833937
2003-03-18,-0.640458838914171,2.6601858796905,1.04663506534415,4.19423976100965,3.16545200979323
2003-03-19,0.687409911996273,1.28660408531189,1.20684979820673,0.828480584127078,0.851075618107799
2003-03-20,-0.369398954727718,0.391976811123129,1.77290378260313,4.80709351378481,1.78627135906044
2003-03-24,0.899299473095283,-0.940945072217936,2.88677012602339,0.244221818464219,-0.660346837067927
2003-03-25,-1.04552730019956,-0.509615535028729,-2.35481675582658,-2.64410912406596,0.900851784089518
2003-03-26,-0.420054957460447,-0.166323970213966,1.364160538993,-0.0342413296190003,1.03781959592952
2003-03-27,2.91533087156663,-1.95068411153816,0.200351848864067,-1.00177460204884,-0.860293710915538
2003-03-28,-0.495439436307699,-0.101039269565817,-1.06326791570215,1.27897256196254,0.363211243952133
2003-03-31,1.24163965415551,-2.61659099296008,-3.78378317811716,-3.77873404771174,-3.91427446661625
2003-04-01,0.789287774787795,-0.435950535321439,0.175570225237465,0.532460811552671,1.15747841826028
2003-04-02,-0.0808181733746416,1.26337569720256,1.03547323953457,0.806306842732329,1.3313651452842
2003-04-03,-0.632368866842548,-0.66876853680089,-0.647706085965005,0.426408527287769,0.212887860874833
2003-04-04,0.619878932727236,1.99530276700113,0.700605095311246,2.315081866504,0.855421514998689
2003-04-07,-0.395223584942173,1.57172391356291,2.15468912592485,4.87722431830608,1.89256787340879
2003-04-08,0.357086765353642,-1.75085949354905,-1.44764358447347,0.242068954399421,-1.55896192539009
2003-04-09,1.50905866746216,-1.94703204175433,-0.911735376508815,-3.08637123825566,-1.93573951973756
2003-04-10,0.485323343024291,-0.128949531179146,-0.966353754876437,1.4400527794229,0.236406729488081
2003-04-11,1.64195962635585,0.230786658452686,-2.07178442531912,0.902909554408993,0.393542112810863
