"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2024","3,224.01","3,151.07","3,262.52","3,101.24","18.03B","2.62%"
"01/02/2024","3,141.85","3,144.18","3,247.63","3,092.40","17.83B","-0.35%"
"01/01/2024","3,153.01","3,240.83","3,259.28","3,126.29","9.84B","-2.69%"
"01/12/2023","3,240.27","3,081.25","3,250.05","3,052.35","8.39B","5.44%"
"01/11/2023","3,072.99","3,071.74","3,180.53","3,061.60","9.61B","0.17%"
"01/10/2023","3,067.74","3,226.53","3,232.09","3,041.67","11.59B","-4.65%"
"01/09/2023","3,217.41","3,240.53","3,289.07","3,179.33","9.32B","-0.49%"
"01/08/2023","3,233.30","3,383.07","3,385.68","3,143.90","12.25B","-4.17%"
"01/07/2023","3,373.98","3,215.56","3,392.63","3,128.70","12.75B","5.24%"
"01/06/2023","3,205.91","3,162.52","3,277.51","3,155.52","7.08B","1.49%"
"01/05/2023","3,158.80","3,291.43","3,309.68","3,156.15","5.12B","-3.42%"
"01/04/2023","3,270.51","3,272.48","3,331.66","3,263.36","3.81B","0.36%"
"01/03/2023","3,258.90","3,265.50","3,275.10","3,094.28","5.86B","-0.11%"
"01/02/2023","3,262.63","3,385.36","3,397.32","3,260.58","4.66B","-3.06%"
"01/01/2023","3,365.67","3,243.99","3,408.19","3,212.63","5.28B","3.52%"
"01/12/2022","3,251.32","3,306.49","3,313.80","3,225.45","4.12B","-1.19%"
"01/11/2022","3,290.49","3,107.00","3,308.30","3,091.18","5.97B","6.38%"
"01/10/2022","3,093.11","3,113.00","3,168.40","2,968.87","5.53B","-1.19%"
"01/09/2022","3,130.24","3,211.56","3,297.59","3,098.24","5.64B","-2.84%"
"01/08/2022","3,221.67","3,238.18","3,307.29","3,205.58","4.46B","0.31%"
"01/07/2022","3,211.56","3,104.25","3,244.29","3,088.25","3.86B","3.52%"
"01/06/2022","3,102.21","3,242.92","3,253.15","3,072.34","5.08B","-4.03%"
"01/05/2022","3,232.49","3,365.43","3,373.15","3,165.18","6.14B","-3.71%"
"01/04/2022","3,356.90","3,403.93","3,445.90","3,303.07","5.20B","-1.51%"
"01/03/2022","3,408.52","3,262.49","3,456.09","3,128.06","6.80B","5.13%"
"01/02/2022","3,242.24","3,302.23","3,466.23","3,214.93","5.85B","-0.23%"
"01/01/2022","3,249.59","3,130.48","3,299.64","3,127.60","5.16B","4.03%"
"01/12/2021","3,123.68","3,052.40","3,161.95","3,045.13","4.04B","2.71%"
"01/11/2021","3,041.29","3,226.23","3,273.54","3,041.29","5.79B","-4.91%"
"01/10/2021","3,198.17","3,072.54","3,228.05","3,044.73","5.03B","3.61%"
"01/09/2021","3,086.70","3,055.71","3,108.53","3,037.79","5.82B","1.04%"
"01/08/2021","3,055.05","3,176.42","3,207.99","3,050.24","5.34B","-3.53%"
"01/07/2021","3,166.94","3,140.25","3,195.25","3,095.35","4.71B","1.17%"
"01/06/2021","3,130.46","3,176.71","3,188.00","3,089.49","5.56B","-1.07%"
"01/05/2021","3,164.28","3,221.79","3,221.94","3,023.95","6.08B","-1.68%"
"01/04/2021","3,218.27","3,187.17","3,237.23","3,145.28","5.06B","1.67%"
"01/03/2021","3,165.34","2,948.69","3,204.24","2,948.64","7.11B","7.33%"
"01/02/2021","2,949.04","2,888.75","2,976.36","2,869.30","5.46B","1.60%"
"01/01/2021","2,902.52","2,846.20","3,017.15","2,832.04","5.21B","2.06%"
"01/12/2020","2,843.81","2,802.94","2,878.13","2,792.74","5.52B","1.35%"
"01/11/2020","2,805.95","2,428.98","2,920.55","2,423.70","8.12B","15.76%"
"01/10/2020","2,423.84","2,479.29","2,570.19","2,420.84","4.88B","-1.73%"
"01/09/2020","2,466.62","2,521.81","2,546.87","2,448.00","5.08B","-2.60%"
