"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2011","8,767.09","8,771.82","8,779.55","8,741.25","100M","-0.39%"
"04/11/2011","8,801.40","8,761.27","8,814.71","8,729.08","125M","1.86%"
"02/11/2011","8,640.42","8,719.92","8,719.92","8,640.42","129.2M","-2.21%"
"01/11/2011","8,835.52","8,880.75","8,946.00","8,831.69","103.8M","-1.70%"
"31/10/2011","8,988.39","9,011.18","9,152.39","8,988.39","133.8M","-0.69%"
"28/10/2011","9,050.47","9,059.04","9,086.43","9,003.09","165.1M","1.39%"
"27/10/2011","8,926.54","8,779.40","8,926.54","8,731.77","139.9M","2.04%"
"26/10/2011","8,748.47","8,673.85","8,798.80","8,642.56","108.8M","-0.16%"
"25/10/2011","8,762.31","8,866.43","8,870.37","8,755.38","106.7M","-0.92%"
"24/10/2011","8,843.98","8,764.92","8,844.28","8,762.02","97.3M","1.90%"
"21/10/2011","8,678.89","8,679.04","8,700.49","8,652.26","97M","-0.04%"
"20/10/2011","8,682.15","8,733.60","8,733.60","8,672.21","109.2M","-1.03%"
"19/10/2011","8,772.54","8,808.25","8,831.55","8,745.36","91.2M","0.35%"
"18/10/2011","8,741.91","8,758.74","8,773.99","8,727.39","81.6M","-1.55%"
"17/10/2011","8,879.60","8,881.44","8,911.70","8,856.58","95.9M","1.50%"
"14/10/2011","8,747.96","8,782.91","8,787.89","8,733.71","108.3M","-0.85%"
"13/10/2011","8,823.25","8,832.81","8,854.16","8,808.73","108.3M","0.97%"
"12/10/2011","8,738.90","8,719.67","8,763.02","8,689.38","109.8M","-0.40%"
"11/10/2011","8,773.68","8,733.54","8,806.44","8,725.62","112.6M","1.95%"
"07/10/2011","8,605.62","8,593.22","8,663.57","8,589.36","122.4M","0.98%"
"06/10/2011","8,522.02","8,463.83","8,545.79","8,463.83","123.5M","1.66%"
"05/10/2011","8,382.98","8,491.43","8,501.03","8,343.01","158.1M","-0.86%"
"04/10/2011","8,456.12","8,426.39","8,470.76","8,359.24","158.7M","-1.05%"
"03/10/2011","8,545.48","8,567.98","8,577.52","8,455.67","143.7M","-1.78%"
"30/09/2011","8,700.29","8,713.91","8,756.00","8,653.62","148.7M","-0.01%"
"29/09/2011","8,701.23","8,527.64","8,706.14","8,501.42","165.7M","0.99%"
"28/09/2011","8,615.65","8,607.92","8,665.54","8,595.85","140.3M","0.07%"
"27/09/2011","8,609.95","8,496.33","8,609.95","8,479.05","140.5M","2.82%"
"26/09/2011","8,374.13","8,547.62","8,556.66","8,359.70","159M","-2.17%"
"22/09/2011","8,560.26","8,643.02","8,643.02","8,545.46","125M","-2.07%"
"21/09/2011","8,741.16","8,717.00","8,771.62","8,707.16","106.7M","0.23%"
"20/09/2011","8,721.24","8,763.61","8,771.72","8,704.23","103.9M","-1.61%"
"16/09/2011","8,864.16","8,785.28","8,864.16","8,774.16","143.3M","2.25%"
"15/09/2011","8,668.86","8,645.38","8,695.95","8,634.02","126.6M","1.76%"
"14/09/2011","8,518.57","8,623.55","8,671.24","8,499.34","129.4M","-1.14%"
"13/09/2011","8,616.55","8,588.74","8,635.88","8,549.06","126.1M","0.95%"
"12/09/2011","8,535.67","8,578.71","8,584.05","8,520.97","126.7M","-2.31%"
"09/09/2011","8,737.66","8,739.49","8,803.75","8,726.25","169.3M","-0.63%"
