"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","4,307.08","4,307.63","4,320.37","4,300.85","243.03M","0.24%"
"04/09/2025","4,296.83","4,295.43","4,305.13","4,292.06","241.63M","0.17%"
"03/09/2025","4,289.33","4,295.39","4,299.40","4,281.31","229.07M","-0.21%"
"02/09/2025","4,298.51","4,273.26","4,301.17","4,273.26","239.86M","0.52%"
"01/09/2025","4,276.07","4,270.86","4,281.85","4,252.27","318.59M","0.15%"
"29/08/2025","4,269.70","4,259.55","4,277.39","4,259.55","232.7M","0.37%"
"28/08/2025","4,253.78","4,248.75","4,256.76","4,240.81","221.8M","0.19%"
"27/08/2025","4,245.57","4,234.37","4,252.43","4,227.44","294.68M","0.04%"
"26/08/2025","4,243.71","4,250.23","4,252.91","4,237.42","380.17M","-0.30%"
"25/08/2025","4,256.49","4,272.76","4,274.13","4,248.66","374.98M","0.08%"
"22/08/2025","4,253.02","4,230.03","4,253.89","4,227.93","187.14M","0.52%"
"21/08/2025","4,230.90","4,221.32","4,233.33","4,215.51","246.38M","0.27%"
"20/08/2025","4,219.54","4,210.36","4,232.10","4,204.41","280.3M","0.08%"
"19/08/2025","4,216.19","4,190.61","4,221.33","4,181.99","262.79M","0.69%"
"18/08/2025","4,187.38","4,235.45","4,236.49","4,187.38","258.66M","-1.02%"
"15/08/2025","4,230.53","4,236.11","4,246.10","4,210.51","280.32M","-0.61%"
"14/08/2025","4,256.52","4,282.80","4,282.80","4,247.32","297.46M","-0.38%"
"13/08/2025","4,272.76","4,241.11","4,272.76","4,235.66","339.09M","1.23%"
"12/08/2025","4,220.72","4,247.08","4,248.73","4,216.01","240.45M","-0.28%"
"11/08/2025","4,232.78","4,238.94","4,247.89","4,224.25","215.98M","-0.17%"
"08/08/2025","4,239.83","4,239.64","4,251.01","4,221.20","337.45M","-0.43%"
"07/08/2025","4,258.15","4,234.17","4,265.44","4,233.13","335.14M","0.72%"
"06/08/2025","4,227.70","4,208.60","4,229.23","4,198.55","256.51M","0.45%"
"05/08/2025","4,208.58","4,208.49","4,222.25","4,204.64","240.12M","0.27%"
"04/08/2025","4,197.23","4,152.18","4,202.02","4,144.89","266.35M","1.04%"
"01/08/2025","4,153.83","4,169.28","4,195.01","4,151.44","285.4M","-0.48%"
"31/07/2025","4,173.77","4,202.12","4,205.99","4,173.77","352.77M","-1.08%"
"30/07/2025","4,219.41","4,234.77","4,234.77","4,202.25","336.38M","-0.24%"
"29/07/2025","4,229.41","4,231.34","4,238.42","4,214.38","272.07M","-0.28%"
"28/07/2025","4,241.14","4,268.02","4,270.56","4,241.14","263.01M","-0.47%"
"25/07/2025","4,261.06","4,250.07","4,265.00","4,238.15","324.21M","-0.28%"
"24/07/2025","4,273.05","4,237.95","4,274.32","4,237.72","335.91M","0.99%"
"23/07/2025","4,231.28","4,217.66","4,231.28","4,203.88","284.5M","0.55%"
"22/07/2025","4,208.26","4,212.00","4,219.18","4,191.87","244.65M","0.03%"
"21/07/2025","4,207.13","4,199.12","4,225.79","4,195.98","290.77M","0.42%"
"18/07/2025","4,189.50","4,172.43","4,192.19","4,164.25","276.88M","0.67%"
"17/07/2025","4,161.43","4,143.26","4,163.45","4,140.63","231.15M","0.71%"
"16/07/2025","4,132.25","4,122.24","4,132.61","4,119.58","230.17M","0.30%"
"15/07/2025","4,119.82","4,120.09","4,129.77","4,109.76","288.23M","0.26%"
"14/07/2025","4,109.21","4,091.33","4,109.21","4,090.98","229.85M","0.52%"
"11/07/2025","4,087.81","4,069.59","4,102.97","4,069.34","273.09M","0.30%"
"10/07/2025","4,075.70","4,062.74","4,080.00","4,061.48","224.03M","0.44%"
"09/07/2025","4,057.82","4,049.88","4,064.58","4,046.27","249.98M","0.25%"
"08/07/2025","4,047.86","4,039.06","4,058.80","4,019.68","366.36M","0.40%"
"07/07/2025","4,031.86","4,017.83","4,031.86","4,011.88","236.78M","0.45%"
"04/07/2025","4,013.62","4,024.11","4,024.33","4,004.92","251.87M","-0.15%"
"03/07/2025","4,019.57","4,009.33","4,019.57","4,001.84","221.74M","0.22%"
"02/07/2025","4,010.77","3,991.74","4,011.78","3,991.74","348.79M","0.53%"
"01/07/2025","3,989.76","3,972.18","4,001.00","3,968.57","252.93M","0.64%"
"30/06/2025","3,964.29","3,970.09","3,971.70","3,958.04","280.93M","-0.05%"
"27/06/2025","3,966.20","3,953.64","3,966.20","3,950.97","278.05M","0.70%"
"26/06/2025","3,938.46","3,923.64","3,939.87","3,919.48","287.93M","0.32%"
"25/06/2025","3,925.98","3,908.05","3,932.25","3,907.79","323.98M","0.56%"
"24/06/2025","3,904.30","3,891.13","3,910.83","3,890.87","270.75M","0.65%"
"23/06/2025","3,879.26","3,859.83","3,883.98","3,845.78","313.11M","-0.11%"
"20/06/2025","3,883.43","3,893.98","3,903.72","3,883.43","457.69M","-0.28%"
"19/06/2025","3,894.18","3,913.85","3,917.62","3,892.09","216.38M","-0.68%"
"18/06/2025","3,920.81","3,920.22","3,923.45","3,908.48","206.48M","-0.25%"
"17/06/2025","3,930.64","3,918.55","3,931.81","3,915.57","256.06M","0.57%"
"16/06/2025","3,908.46","3,903.90","3,915.20","3,891.82","185.82M","-0.08%"
"13/06/2025","3,911.42","3,912.71","3,912.71","3,898.46","260.68M","-0.27%"
"12/06/2025","3,922.20","3,916.75","3,933.32","3,911.33","287.22M","0.08%"
"11/06/2025","3,919.05","3,933.52","3,933.52","3,907.91","204.74M","-0.37%"
"10/06/2025","3,933.80","3,935.87","3,939.31","3,922.68","206.84M","-0.06%"
"09/06/2025","3,936.32","3,934.32","3,945.92","3,930.76","192.07M","0.05%"
"06/06/2025","3,934.29","3,922.24","3,934.29","3,914.07","222.06M","0.42%"
"05/06/2025","3,917.69","3,904.89","3,917.69","3,896.67","315.6M","0.35%"
"04/06/2025","3,903.88","3,893.55","3,903.88","3,880.57","261.9M","0.24%"
"03/06/2025","3,894.38","3,894.10","3,902.50","3,877.05","253.58M","0.10%"
"02/06/2025","3,890.59","3,904.42","3,905.94","3,871.54","252.37M","-0.10%"
"30/05/2025","3,894.61","3,914.97","3,917.85","3,894.61","540.1M","-0.57%"
"29/05/2025","3,916.84","3,921.17","3,921.17","3,896.40","292.21M","0.13%"
"28/05/2025","3,911.92","3,909.05","3,919.03","3,901.29","230.47M","0.41%"
"27/05/2025","3,896.09","3,877.33","3,896.09","3,871.81","204.36M","0.53%"
"26/05/2025","3,875.60","3,880.96","3,883.20","3,861.85","192.04M","-0.18%"
"23/05/2025","3,882.42","3,888.04","3,894.65","3,865.93","249.34M","0.06%"
"22/05/2025","3,880.09","3,877.24","3,881.85","3,857.11","280.95M","-0.06%"
