month,corr_SH_Hang_Seng,corr_SH_Nikkei,corr_SH_KOSPI,corr_SH_STI,corr_SH_SP500,DCEF,RIPO,NIPO,NA,TURN,CCI,ISI,StdISI
2008-11,0.564615468254521,0.374981061509335,0.373688821773239,0.398133635721648,0.133731322605363,-0.2739,0.0,0,33.47,0.1672,92.4,42.57,-1.81
2008-12,0.529614124904995,0.338540611353461,0.350050142836819,0.371962411791153,0.0877690556859467,-0.2848,0.4226,1,30.36,0.3018,105.2,44.0,-0.74
2009-01,0.530679488820217,0.347343612893382,0.371862136533311,0.372033614899195,0.0922235029403052,-0.2569,0.0,0,10.81,0.3309,101.8,30.31,-1.22
2009-02,0.515682490772905,0.341986524999907,0.372065151653058,0.344665648890805,0.0508194851021545,-0.2308,0.0,0,50.93,0.2976,101.3,55.86,-0.69
2009-03,0.504907236843243,0.308096859363253,0.36314551398944,0.316396339458874,0.0640949617007926,-0.2706,0.0,0,48.01,0.5514,101.0,54.05,0.23
2009-04,0.518270667966009,0.310574104280914,0.385021068974519,0.347335422801042,0.0783605242111316,-0.2589,0.0,0,45.16,0.4103,100.3,51.99,-0.39
2009-05,0.574427921647601,0.349658929012182,0.403730645734147,0.436063341084922,0.120893498684451,-0.2565,0.0,0,36.07,0.4645,100.5,46.25,-0.29
2009-06,0.557575823146983,0.336195249143246,0.381932313445356,0.413099425471794,0.132833860743922,-0.2105,0.0,0,54.63,0.4068,101.2,58.27,-0.11
2009-07,0.48129762577091,0.251351994027261,0.362341210262581,0.349312625061639,0.0866749159959345,-0.2205,1.1198,5,78.81,0.3708,101.0,75.34,0.92
2009-08,0.512848586609408,0.297443787908924,0.363028254072949,0.398442784600156,0.13450606991099,-0.226,0.6284,11,72.4,0.455,102.1,72.66,0.93
2009-09,0.527372727685528,0.288375849019551,0.360597396322222,0.413635305218724,0.159804939460204,-0.2552,0.4778,12,48.76,0.356,102.7,57.77,-0.01
2009-10,0.541192676867082,0.258242762887789,0.296248166416019,0.368594228786673,0.164385005161276,-0.2304,0.9928,32,28.81,0.3233,102.8,49.79,0.26
2009-11,0.533267318624143,0.240109122774992,0.272123358703222,0.355543956804851,0.135908556048461,-0.2099,0.5586,11,50.71,0.2817,103.2,58.92,-0.12
2009-12,0.547034894464718,0.252025942604553,0.336869908742635,0.356523448256242,0.168351470513754,-0.2141,0.616,28,52.49,0.3673,103.3,64.01,0.54
2010-01,0.546374350373671,0.269002920588353,0.364061850283982,0.349277090742078,0.15501331949763,-0.193,0.3669,37,38.58,0.255,103.9,57.12,-0.12
2010-02,0.557505128185235,0.295549967143603,0.383161850948154,0.392655314386918,0.119663512299279,-0.1573,0.1595,24,26.19,0.2704,104.7,46.34,-0.46
2010-03,0.546553092275846,0.287649175933896,0.359533851752442,0.375489559488854,0.114604056003858,-0.1522,0.7038,33,60.4,0.1849,104.2,70.38,0.21
2010-04,0.563842868680687,0.328231889579225,0.374981002954128,0.395572178043907,0.132738567238534,-0.143,0.698,30,42.7,0.2114,107.9,59.23,0.1
2010-05,0.602604063833749,0.388473998407846,0.471681131182793,0.429797182097023,0.254948087496519,-0.1505,0.1173,26,38.17,0.2763,106.6,54.89,-0.19
