month,DCEF,RIPO,NIPO,NA,TURN,CCI,sen
2014-11,-0.1209,0.44,8,36.12,0.2738,103.4,-0.3184824735138303
2014-12,-0.1177,0.44,21,99.38,0.3154,105.5,0.2814175590793413
2015-01,-0.0848,0.5533,23,65.81,0.4851,105.8,0.3026624911518203
2015-02,-0.1161,0.4401,21,37.29,0.3617,105.7,0.0969867188113362
2015-03,-0.0994,0.4399,27,162.3,0.2814,109.8,0.8292760502957878
2015-04,-0.101,0.44,30,165.84,0.4755,107.1,0.7602913814016292
2015-05,-0.1258,0.44,44,138.62,0.6133,107.6,0.9539474171173056
2015-06,-0.195,0.44,43,154.74,0.5996,109.9,0.8240648214750433
2015-07,-0.1464,0.44,5,68.29,0.6786,105.5,-0.4898095397094949
2015-08,-0.1736,0.0,0,45.62,0.5474,104.5,-0.8131505643011607
2015-09,-0.1719,0.0,0,36.11,0.5143,104.0,-0.8366789171100674
2015-10,-0.0966,0.0,0,35.56,0.3384,105.6,-0.4788853287236471
2015-11,-0.1121,2.4248,1,49.07,0.487,103.8,-0.2781937122004054
2015-12,-0.1003,0.4777,29,47.24,0.5275,104.1,0.2903907983794361
2016-01,-0.09,0.44,1,45.03,0.3681,103.7,-0.4175204503330235
2016-02,-0.0542,0.4401,7,38.49,0.2814,104.0,-0.1104755504569597
2016-03,-0.0588,0.44,16,76.4,0.2971,104.4,0.2398076024811949
2016-04,-0.06,0.44,11,51.71,0.3319,100.0,-0.1194380710819768
2016-05,-0.0496,0.44,13,47.38,0.3088,101.0,-0.0035292825887299
2016-06,-0.0506,0.4401,13,47.36,0.234,99.8,-0.0130483639423163
2016-07,-0.0492,0.44,13,43.54,0.3048,102.9,0.0452172613427013
2016-08,-0.0377,0.4399,30,73.3,0.3136,106.8,0.7545897881199177
2016-09,-0.0347,0.4399,22,61.79,0.2449,105.6,0.4994766345399316
2016-10,-0.0271,0.44,22,43.67,0.2044,104.6,0.4583065737207019
2016-11,-0.0253,0.44,34,58.27,0.2374,107.2,0.9052852390173682
2016-12,-0.0287,0.4399,45,46.56,0.2927,108.6,1.187823168304357
2017-01,-0.0285,0.4399,54,31.88,0.2086,108.4,1.4250178779300162
2017-02,-0.0136,0.44,33,50.5,0.1781,109.2,0.9761008685101068
2017-03,-0.0157,0.44,48,77.8,0.2086,112.6,1.5554321857670872
2017-04,-0.0167,0.44,38,42.77,0.2298,111.0,1.1169552399280895
2017-05,0.0001,0.44,38,41.49,0.2361,113.4,1.2365507107271347
2017-06,-0.0044,0.4399,36,44.33,0.1907,112.0,1.150496312418023
2017-07,-0.0124,0.4398,30,40.45,0.1792,113.3,0.9897529079033784
2017-08,-0.0064,0.4399,37,50.4,0.2105,114.6,1.2592342789961348
2017-09,-0.0084,0.44,37,44.23,0.2242,114.7,1.2327768783363044
2017-10,-0.0321,0.4401,27,32.16,0.2303,118.6,0.9574615655138315
2017-11,-0.0363,0.44,36,40.67,0.1941,123.9,1.3922572863451146
2017-12,-0.051,0.4383,24,32.41,0.2105,121.3,0.9021692410693334
2018-01,-0.0591,0.4401,15,40.94,0.1581,122.6,0.7092568338795837
2018-02,-0.0848,0.6822,13,24.75,0.2102,122.3,0.5247223568980013
2018-03,-0.1066,0.4399,10,51.93,0.1737,124.0,0.484254073734096
2018-04,-0.1151,0.44,9,32.3,0.1978,122.3,0.3126365270356102
2018-05,-0.1078,0.44,8,36.77,0.1964,122.9,0.3394391157810121
2018-06,-0.1126,0.4401,9,34.36,0.1773,122.9,0.3526272895436628
2018-07,-0.1459,0.4401,7,36.61,0.157,118.2,0.0637532528689046
2018-08,-0.146,0.4403,6,35.69,0.1645,119.7,0.0748292506310413
2018-09,-0.1741,0.44,11,30.33,0.134,118.6,0.0879429117224617
2018-10,-0.1818,0.4403,5,30.28,0.1232,118.5,-0.1030140387256561
2018-11,-0.2058,0.44,8,34.99,0.1404,119.1,-0.0718386184887859
2018-12,-0.1784,1.282,7,28.45,0.1764,122.1,0.1480991743207074
2019-01,-0.1828,0.3525,16,34.12,0.1331,123.0,0.3316046717310348
2019-02,-0.1379,0.44,6,33.22,0.1491,123.7,0.2195135174415484
2019-03,-0.1201,0.4399,11,67.49,0.2694,126.0,0.535129839738563
2019-04,-0.1396,0.44,10,51.04,0.3668,124.1,0.3022412825448967
2019-05,-0.1459,0.4401,13,38.42,0.3225,125.3,0.3831555472554561
2019-06,-0.1568,0.4402,10,35.19,0.2024,123.4,0.2459836847365115
2019-07,-0.153,1.0856,37,36.16,0.1922,125.9,1.172110811890135
2019-08,-0.1429,0.9485,15,32.87,0.1636,124.4,0.5309955210497158
2019-09,-0.128,0.9268,11,32.09,0.1854,122.4,0.3938889001119712
2019-10,-0.118,0.7695,16,26.46,0.2343,124.1,0.561674383068976
2019-11,-0.1272,0.5314,31,27.55,0.1736,124.3,0.9546644264407284
2019-12,-0.1201,0.6473,28,26.98,0.1645,124.6,0.91889451275404
2020-01,-0.1177,1.0594,16,26.69,0.2013,126.6,0.6866297644912864
2020-02,-0.1106,1.5804,22,29.85,0.2667,126.4,0.9177222281041304
2020-03,-0.1181,0.5451,13,63.04,0.3768,118.9,0.3425847231201407
